id,_id,context,core,dateupload,farm,iconfarm,iconserver,in_park,labels,owner,ownername,parkunit,secret,server,tags,title,views,latitude,longitude
27292821577,5f1b85177547241674a145c6,0,True,-93,1,9,8361,True,0,89651993@N03,pittsborojim,hosp,5142258687,911,,18-044,85,34.508311,-93.068428
16648642333,5f1b85177547241674a147fd,0,True,-93,9,9,8707,True,0,58337549@N05,Dresden24,hosp,86903beb21,8747,,WEST MOUNTAIN,36,34.508288,-93.068398
17081116108,5f1b85177547241674a147f6,0,True,-93,9,9,8707,True,0,58337549@N05,Dresden24,hosp,27f8b83b18,8755,,WEST MOUNTAIN,37,34.508338,-93.068398
49969094226,5f1b85177547241674a144e9,0,True,-93,66,9,8022,True,0,144509206@N03,scott.betterton,hosp,6954e6a883,65535,,Rocks,3,34.508419,-93.068337
5302304975,5f1b85177547241674a14c5e,0,True,-93,6,0,0,True,0,39666438@N05,octoberlike,hosp,ced5b44080,5283,,"Hot Springs, AR",52,34.508333,-93.068334
49969094216,5f1b85177547241674a144ea,0,True,-93,66,9,8022,True,0,144509206@N03,scott.betterton,hosp,61aa977895,65535,,Rocks,3,34.508444,-93.06832800000001
29247233911,5f1b85177547241674a1476b,0,True,-93,9,5,4549,True,0,31562668@N00,skibradshaw,hosp,6ba2296281,8296,hotsprings arkansas unitedstates us,IMG_0067,197,34.508255,-93.068297
49968581898,5f1b85177547241674a144eb,0,True,-93,66,9,8022,True,0,144509206@N03,scott.betterton,hosp,98cfa7c9a7,65535,,Rocks,3,34.508463,-93.068292
8603806618,5f1b85177547241674a149c9,0,True,-93,9,8,7079,True,0,78116740@N03,egveitikkje,hosp,ea24e6e066,8386,square squareformat iphoneography instagramapp uploaded:by=instagram foursquare:venue=4c3e674680bc20a14c0cab58,Peaking,10,34.508311,-93.068269
8016522244,5f1b85177547241674a14a92,0,True,-93,9,3,2878,True,0,44124369007@N01,wheat,hosp,f4c93c9813,8309,square squareformat amaro iphoneography instagramapp uploaded:by=instagram foursquare:venue=4c3e674680bc20a14c0cab58,,30,34.508311,-93.068269
3589764569,5f1b85177547241674a14d2a,0,True,-93,4,4,3290,True,0,31632194@N06,The Delaruelles,hosp,ec5e516066,3610,,ArkansasTree,39,34.508453,-93.0682
3590568540,5f1b85177547241674a14d2b,0,True,-93,4,4,3290,True,0,31632194@N06,The Delaruelles,hosp,ba8d79c856,3620,,Arkansas Sunrays,49,34.508453,-93.0682
3589923160,5f1b85177547241674a14d2c,0,True,-93,4,4,3290,True,0,31632194@N06,The Delaruelles,hosp,4f0f6aa736,3334,,Arkansas Rock,57,34.508453,-93.0682
3191817929,5f1b85177547241674a14dcb,0,True,-93,4,4,3290,True,0,31632194@N06,The Delaruelles,hosp,4ca4473774,3505,breathtaking beautifulshot photographyrocks amazingshots rainofflowers thebestflowershots theflowersofflickr theflowerbasket,Arkansas Tree,68,34.508453,-93.0682
39203362321,5f1b85177547241674a145ff,0,True,-93,5,8,7420,True,0,73100763@N05,scoryell,hosp,6bf43f55f9,4643,arkansas hotsprings hotspringsnationalpark,150522-01 (2015-05-24) - 0218,29,34.508263,-93.06813100000001
2360298314,5f1b85177547241674a14e7c,0,True,-93,4,4,3227,True,0,24993365@N02,fprimeaux,hosp,5f1770834f,3121,environment epaenjoying,Peek-a-boo,79,34.508678,-93.06810300000001
5310707095,5f1b85177547241674a14c5c,0,True,-93,6,9,8374,True,0,30651261@N06,jackandphyl,hosp,3accb2711b,5082,storm rainstorm arkansas newyeareve thunderclouds hotsprings 2010 2011 westmountain 525of2010 jackandphyl themefuture,"And on to 2011, for better or worse, the future",589,34.508236,-93.068071
4750463150,5f1b85177547241674a14c9b,0,True,-93,5,2,1034,True,0,9602752@N04,Greg Matula,hosp,0bf906009e,4116,,West Mountain,46,34.50810300000001,-93.068039
1419179343,5f1b85177547241674a14ee2,0,True,-93,2,0,0,True,1,13933264@N05,krzysz00,hosp,eb2c6f945d,1078,vacation hotsprings,Hot Springs17,4,34.527958,-93.06791
1419179233,5f1b85177547241674a14ee3,0,True,-93,2,0,0,True,1,13933264@N05,krzysz00,hosp,5b986bb09f,1255,vacation hotsprings,Hot Springs16,54,34.527958,-93.06791
1420062892,5f1b85177547241674a14ee4,0,True,-93,2,0,0,True,1,13933264@N05,krzysz00,hosp,ad320c8627,1088,vacation hotsprings,Hot Springs15,46,34.527958,-93.06791
1419179053,5f1b85177547241674a14ee5,0,True,-93,2,0,0,True,1,13933264@N05,krzysz00,hosp,6420bc0b86,1430,vacation hotsprings,Hot Springs14,23,34.527958,-93.06791
1420062658,5f1b85177547241674a14ee6,0,True,-93,2,0,0,True,1,13933264@N05,krzysz00,hosp,4de271be1d,1062,vacation hotsprings,Hot Springs13,3,34.527958,-93.06791
1420062542,5f1b85177547241674a14ee7,0,True,-93,2,0,0,True,1,13933264@N05,krzysz00,hosp,db68dff035,1157,vacation hotsprings,Hot Springs12,3,34.527958,-93.06791
