id,_id,context,dateupload,farm,iconfarm,iconserver,in_park,owner,ownername,parkunit,secret,server,tags,title,views,latitude,longitude,core,labels
8166244461,5f01fc66f726a9c76d8357ce,0,1352365200,9,66,65535,True,87974483@N02,demeeschter,kica,56f7c108f9,8349,california park usa tree forest canyon kings national sequoia,Grant Grove,64,36.746062,-118.975549,True,4
8166283594,5f01fc66f726a9c76d8357d4,0,1352365166,9,66,65535,True,87974483@N02,demeeschter,kica,c8eeafe338,8341,california park usa tree forest canyon kings national sequoia,Grant Grove,72,36.746062,-118.975549,True,4
8166252725,5f01fc66f726a9c76d8357d5,0,1352365167,9,66,65535,True,87974483@N02,demeeschter,kica,eb35dd99e8,8342,california park usa tree forest canyon kings national sequoia,Grant Grove,66,36.746062,-118.975549,True,4
8166283254,5f01fc66f726a9c76d8357d6,0,1352365167,8,66,65535,True,87974483@N02,demeeschter,kica,a981b5e589,7108,california park usa tree forest canyon kings national sequoia,Twin Sisters,42,36.746062,-118.975549,True,4
8166252455,5f01fc66f726a9c76d8357d7,0,1352365168,9,66,65535,True,87974483@N02,demeeschter,kica,05ca100115,8481,california park usa tree forest canyon kings national sequoia,Twin Sisters,51,36.746062,-118.975549,True,4
8166282920,5f01fc66f726a9c76d8357d8,0,1352365168,8,66,65535,True,87974483@N02,demeeschter,kica,07acb13f63,7137,california park usa tree forest canyon kings national sequoia,Lincoln Tree,61,36.746062,-118.975549,True,4
8166282722,5f01fc66f726a9c76d8357d9,0,1352365169,8,66,65535,True,87974483@N02,demeeschter,kica,840602c863,7127,california park usa tree forest canyon kings national sequoia,Grant Grove,67,36.746062,-118.975549,True,4
8166282556,5f01fc66f726a9c76d8357da,0,1352365170,8,66,65535,True,87974483@N02,demeeschter,kica,c81629775c,7272,california park usa tree forest canyon kings national sequoia,Lincoln Tree,82,36.746062,-118.975549,True,4
8166251775,5f01fc66f726a9c76d8357db,0,1352365171,8,66,65535,True,87974483@N02,demeeschter,kica,8e27e0c73a,7256,usa california sequoia kings canyon national park forest tree,Lincoln Tree,72,36.746062,-118.975549,True,4
8166251559,5f01fc66f726a9c76d8357dc,0,1352365172,9,66,65535,True,87974483@N02,demeeschter,kica,de90eac415,8348,california park usa tree forest canyon kings national sequoia,Grant Grove,86,36.746062,-118.975549,True,4
8166281986,5f01fc66f726a9c76d8357dd,0,1352365172,9,66,65535,True,87974483@N02,demeeschter,kica,f8439864fe,8208,california park usa tree forest canyon kings national sequoia,Grant Grove,94,36.746062,-118.975549,True,4
8166251279,5f01fc66f726a9c76d8357de,0,1352365173,8,66,65535,True,87974483@N02,demeeschter,kica,7744ed052c,7127,california park usa tree forest canyon kings national sequoia,Grant Grove,81,36.746062,-118.975549,True,4
8166281546,5f01fc66f726a9c76d8357df,0,1352365173,9,66,65535,True,87974483@N02,demeeschter,kica,47f5af7e3c,8066,california park usa tree forest canyon kings national sequoia,Robert E. Lee Tree,49,36.746062,-118.975549,True,4
8166250839,5f01fc66f726a9c76d8357e0,0,1352365174,9,66,65535,True,87974483@N02,demeeschter,kica,7060f16450,8209,california park usa tree forest canyon kings national sequoia,Inside a Fallen Monarch,42,36.746062,-118.975549,True,4
8166281222,5f01fc66f726a9c76d8357e1,0,1352365174,9,66,65535,True,87974483@N02,demeeschter,kica,eb38b974e5,8340,california park usa tree forest canyon kings national sequoia,Robert E. Lee Tree,49,36.746062,-118.975549,True,4
8166281006,5f01fc66f726a9c76d8357e2,0,1352365175,8,66,65535,True,87974483@N02,demeeschter,kica,6c4d0d51b7,7276,california park usa tree forest canyon kings national sequoia,Grant Grove,76,36.746062,-118.975549,True,4
8166250303,5f01fc66f726a9c76d8357e3,0,1352365176,8,66,65535,True,87974483@N02,demeeschter,kica,3da45fc38d,7114,california park usa tree forest canyon kings national sequoia,Grant Grove,73,36.746062,-118.975549,True,4
8166280554,5f01fc66f726a9c76d8357e4,0,1352365176,9,66,65535,True,87974483@N02,demeeschter,kica,2a87d5e4b6,8343,california park usa tree forest canyon kings national sequoia,Grant Grove,54,36.746062,-118.975549,True,4
8166280362,5f01fc66f726a9c76d8357e5,0,1352365177,8,66,65535,True,87974483@N02,demeeschter,kica,4d5f8b1789,7108,california park usa tree forest canyon kings national sequoia,Grant Grove,68,36.746062,-118.975549,True,4
8166249681,5f01fc66f726a9c76d8357e6,0,1352365178,8,66,65535,True,87974483@N02,demeeschter,kica,783588a84f,7257,california park usa tree forest canyon kings national sequoia,Lincoln Tree,57,36.746062,-118.975549,True,4
8166249489,5f01fc66f726a9c76d8357e7,0,1352365179,8,66,65535,True,87974483@N02,demeeschter,kica,af6b87ccbf,7272,california park usa tree forest canyon kings national sequoia,Lincoln Tree,49,36.746062,-118.975549,True,4
8166279958,5f01fc66f726a9c76d8357e8,0,1352365179,8,66,65535,True,87974483@N02,demeeschter,kica,4b3e21066c,7121,california park usa tree forest canyon kings national sequoia,Grant Grove,74,36.746062,-118.975549,True,4
