id,_id,context,dateupload,farm,iconfarm,iconserver,in_park,owner,ownername,parkunit,secret,server,tags,title,views,latitude,longitude,core,labels
4611350946,5f01fc61f726a9c76d7a067a,0,1274001525,2,6,5550,True,42601978@N00,NUkiwi,havo,89b8374a77,1241,usa hawaii pacific bigisland afszoomnikkor2470mmf28ged,,80,19.420118,-155.289733,True,148
4610740277,5f01fc61f726a9c76d7a067b,0,1274001490,5,6,5550,True,42601978@N00,NUkiwi,havo,ef5358c259,4006,usa hawaii pacific bigisland afszoomnikkor2470mmf28ged,,89,19.420104,-155.28968799999996,True,148
4611348852,5f01fc61f726a9c76d7a067c,0,1274001435,5,6,5550,True,42601978@N00,NUkiwi,havo,075ef04c02,4028,usa hawaii pacific bigisland afszoomnikkor2470mmf28ged,Sunset Silhouettes,92,19.420164,-155.289657,True,148
14753311425,5f01fc61f726a9c76d79e1f4,0,1406424271,6,3,2900,True,126502251@N02,dfjkl,havo,220270ba81,5566,,IMG_20140719_184023,5,19.41988,-155.289581,True,148
14750971554,5f01fc61f726a9c76d79e1f5,0,1406424272,4,3,2900,True,126502251@N02,dfjkl,havo,f6f9d0452a,3884,,IMG_20140719_184025,2,19.41988,-155.289581,True,148
14752997722,5f01fc61f726a9c76d79e1f6,0,1406424272,4,3,2900,True,126502251@N02,dfjkl,havo,1d0167cddc,3870,,IMG_20140719_184034,2,19.41988,-155.289581,True,148
14752976402,5f01fc61f726a9c76d79e214,0,1406424271,3,3,2900,True,126502251@N02,dfjkl,havo,c1d4eee68b,2937,,IMG_20140719_184020,4,19.41988,-155.289581,True,148
17084600846,5f01fc61f726a9c76d79dc9e,0,1428769742,8,8,7359,True,31105675@N08,romamar76,havo,72d2bb6cdb,7709,volcano hawaii gas crater bigisland volcanic eruption active vog kīlauea halemaʻumaʻu hawaiʻivolcanoesnationalpark,Smokin',314,19.419712,-155.289551,True,148
32237852961,5f01fc61f726a9c76d79cfc0,0,1484622673,1,8,7314,True,86113217@N00,TrekkinD-47,havo,bdcfaa9e56,632,pāhoa hawaii unitedstates,20161101-DES_0134,7,19.420033,-155.289531,True,148
32207732692,5f01fc61f726a9c76d79cfc1,0,1484622674,1,8,7314,True,86113217@N00,TrekkinD-47,havo,299b2da346,439,pāhoa hawaii unitedstates,Northwest,7,19.420033,-155.289531,True,148
