,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
6,6,50035782912,51546668@N00,26d15c28c2,65535,66,slow-burn sky,1,0,0,1592874087,almostsummersky,7407,8,27,horizon sunset reflection mountains glacierbaynationalpark evening clouds lesterisland summer travel bartlettcove water sky sundown glacierbay alaska gustavus fairweatherrange unitedstatesofamerica,1f909fdf19,jpg,58.45565799999999,-135.886292,16,0,,5844558.0,1,0,0,0,,True
7,7,50035524756,51546668@N00,ff2779fec1,65535,66,the end of daylight,1,0,0,1592874080,almostsummersky,7407,8,17,horizon sunset reflection mountains glacierbaynationalpark evening clouds lesterisland summer travel bartlettcove sundown water sky boat glacierbay alaska gustavus fairweatherrange unitedstatesofamerica,f7ff412bf7,jpg,58.45565799999999,-135.886292,16,0,,5844558.0,1,0,0,0,,True
8,8,50035782297,51546668@N00,cddba5a521,65535,66,distance between mountains,1,0,0,1592874070,almostsummersky,7407,8,17,horizon sunset reflection mountains glacierbaynationalpark evening clouds lesterisland summer travel bartlettcove water sky sundown glacierbay alaska gustavus fairweatherrange unitedstatesofamerica,296bef5b09,jpg,58.45565799999999,-135.886292,16,0,,5844558.0,1,0,0,0,,True
9,9,50034979108,51546668@N00,dd98d6527a,65535,66,docked for the night,1,0,0,1592874061,almostsummersky,7407,8,25,horizon cruiseship sunset reflection mountains glacierbaynationalpark evening clouds lesterisland summer dock travel bartlettcove water uncruise sky sundown glacierbay alaska gustavus fairweatherrange unitedstatesofamerica,249a9398b8,jpg,58.45565799999999,-135.886292,16,0,,5844558.0,1,0,0,0,,True
10,10,50031477742,51546668@N00,c77b567e3b,65535,66,the reflected version,1,0,0,1592776410,almostsummersky,7407,8,18,horizon sunset reflection mountains glacierbaynationalpark evening clouds lesterisland summer travel bartlettcove water sky sundown glacierbay alaska gustavus fairweatherrange unitedstatesofamerica,4edde3db6d,jpg,58.45565799999999,-135.886292,16,0,,5844558.0,1,0,0,0,,True
11,11,50030677468,51546668@N00,902f127677,65535,66,a lasting peace,1,0,0,1592776401,almostsummersky,7407,8,17,horizon sunset reflection mountains glacierbaynationalpark evening clouds lesterisland summer travel bartlettcove water sky sundown glacierbay alaska gustavus fairweatherrange unitedstatesofamerica,10277ef326,jpg,58.45565799999999,-135.886292,16,0,,5844558.0,1,0,0,0,,True
12,12,50030818037,51546668@N00,3bd3ac5062,65535,66,further into nature,1,0,0,1592765637,almostsummersky,7407,8,22,alaska trees summer island bartlettriver travel bartlettcove water mountains forest glacierbaynationalpark glacierbay boat gustavus fairweatherrange unitedstatesofamerica,c97e287471,jpg,58.454688,-135.885045,16,0,,5844558.0,1,0,0,0,,True
13,13,50030816662,51546668@N00,f398da0de9,65535,66,afternoon waterline,1,0,0,1592765617,almostsummersky,7407,8,19,alaska glacierbaynationalpark rees shore lesterisland summer rocks travel bartlettcove bartlettriver island fairweatherrange boat glacierbay forest gustavus mountain unitedstatesofamerica,f17534beb1,jpg,58.454696999999996,-135.885048,16,0,,5844558.0,1,0,0,0,,True
14,14,50030815977,51546668@N00,7043b1a6ae,65535,66,a world more wild,1,0,0,1592765607,almostsummersky,7407,8,24,alaska cruiseship sunset reflection mountains glacierbaynationalpark evening rocks lesterisland summer dock water travel bartlettcove sundown horizon sky boat glacierbay clouds gustavus fairweatherrange unitedstatesofamerica,6524dcbeeb,jpg,58.454696999999996,-135.885048,16,0,,5844558.0,1,0,0,0,,True
27,27,50003676502,74014223@N00,942e556158,65535,66,MVIMG_20200229_133750.jpg,1,0,0,1592097150,Danieldcamp,1072,2,7,gustavus alaska unitedstatesofamerica,04560ced85,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
28,28,50003676252,74014223@N00,82f6c234ff,65535,66,MVIMG_20200229_131442.jpg,1,0,0,1592097144,Danieldcamp,1072,2,6,gustavus alaska unitedstatesofamerica,07e12936ea,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
29,29,50003676017,74014223@N00,d415b761c2,65535,66,MVIMG_20200229_123737.jpg,1,0,0,1592097137,Danieldcamp,1072,2,7,gustavus alaska unitedstatesofamerica,9c50b72e29,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
30,30,50003675762,74014223@N00,30a072086d,65535,66,MVIMG_20200229_122122.jpg,1,0,0,1592097131,Danieldcamp,1072,2,8,gustavus alaska unitedstatesofamerica,6253185a84,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
31,31,50003675447,74014223@N00,3af86c906b,65535,66,MVIMG_20200229_100305.jpg,1,0,0,1592097124,Danieldcamp,1072,2,8,gustavus alaska unitedstatesofamerica,93ddb15195,jpg,59.024032999999996,-137.001767,16,0,,5557321.0,1,0,0,0,,True
32,32,50003675207,74014223@N00,85677d2464,65535,66,MVIMG_20200229_085827.jpg,1,0,0,1592097117,Danieldcamp,1072,2,8,gustavus alaska unitedstatesofamerica,29a98215fc,jpg,59.024032999999996,-137.001767,16,0,,5557321.0,1,0,0,0,,True
33,33,50003403706,74014223@N00,8b0efedec7,65535,66,MVIMG_20200228_232530.jpg,1,0,0,1592096793,Danieldcamp,1072,2,7,gustavus alaska unitedstatesofamerica,98af3e74cf,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
34,34,50002881153,74014223@N00,88dcd9f966,65535,66,MVIMG_20200228_230835.jpg,1,0,0,1592096787,Danieldcamp,1072,2,7,gustavus alaska unitedstatesofamerica,8be25070ec,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
35,35,50002880918,74014223@N00,68fed15393,65535,66,IMG_20200228_230109.jpg,1,0,0,1592096781,Danieldcamp,1072,2,6,gustavus alaska unitedstatesofamerica,83e3220373,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
36,36,50003402911,74014223@N00,f85b892cc0,65535,66,IMG_20200228_225947.jpg,1,0,0,1592096776,Danieldcamp,1072,2,7,gustavus alaska unitedstatesofamerica,1c8ed8b038,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
37,37,50003402581,74014223@N00,f24f0aafd8,65535,66,IMG_20200228_225930.jpg,1,0,0,1592096769,Danieldcamp,1072,2,7,gustavus alaska unitedstatesofamerica,2e435aea41,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
38,38,50003660332,74014223@N00,acd6aee2e1,65535,66,MVIMG_20200228_210453.jpg,1,0,0,1592096764,Danieldcamp,1072,2,8,gustavus alaska unitedstatesofamerica,770b69b8b9,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
39,39,50002879998,74014223@N00,8908680615,65535,66,MVIMG_20200228_210408.jpg,1,0,0,1592096758,Danieldcamp,1072,2,7,gustavus alaska unitedstatesofamerica,f3c9e117e3,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
40,40,50003659697,74014223@N00,9f2ba5630d,65535,66,MVIMG_20200228_210405.jpg,1,0,0,1592096750,Danieldcamp,1072,2,7,gustavus alaska unitedstatesofamerica,f8f03ffe5a,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
41,41,50003401476,74014223@N00,c352979932,65535,66,MVIMG_20200228_210359.jpg,1,0,0,1592096744,Danieldcamp,1072,2,7,gustavus alaska unitedstatesofamerica,2e101596fc,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
42,42,50003659172,74014223@N00,1e2193fd02,65535,66,MVIMG_20200228_210350.jpg,1,0,0,1592096739,Danieldcamp,1072,2,7,gustavus alaska unitedstatesofamerica,4db9da146c,jpg,59.023938,-137.001475,16,0,,5557321.0,1,0,0,0,,True
