,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags
0,50023015728,164582289@N02,3ab274dc14,65535,66,Don't Be Suspicious,1,0,0,1592594841,Fotog Gopher,65535,66,175,2020 usa alligator arkansas day debris hotspirngs june leaves reptile water hotsprings unitedstatesofamerica,34.515058,-93.072664,16,0,,8605040,1,0,0,0,,,
1,49996781786,164582289@N02,17186e45b1,65535,66,The Goat Whisperer,1,0,0,1591926980,Fotog Gopher,65535,66,369,goat kid female ladies lady woman women boy fence outside day hotsprings arkansas 2020 june nikon z7 nef raw captureone hotspringsnationalpark unitedstates,34.515127,-93.072464,16,0,,8605040,1,0,0,0,,,
2,49996162153,164582289@N02,acc00292ec,65535,66,"Honestly, he said 'Bite Me'",1,0,0,1591923831,Fotog Gopher,65535,66,179,alligator reptile hotspirngs arkansas usa 2020 june zoo nikon pettingzoo nef raw captureone hotspringsnationalpark unitedstates,34.515111,-93.072503,16,0,,8605040,1,0,0,0,,,
3,49985924698,164582289@N02,48aeb153b9,65535,66,Dog Pile,1,0,0,1591666388,Fotog Gopher,65535,66,238,alligators alligator brick wall light inside reptile hotsprings arkansas 2020 june nikon z7 nef raw captureone hotspringsnationalpark unitedstates,34.515047,-93.072489,16,0,,8605040,1,0,0,0,,,
4,49979654752,164582289@N02,215e903c6c,65535,66,A Girl And Her Gator,1,0,0,1591506682,Fotog Gopher,65535,66,241,gator alligator tei fear close hotspirngs arkansas 2020 june urban nikon z7 nef raw captureone hotspringsnationalpark unitedstates,34.515119,-93.072542,16,0,,8605040,1,0,0,0,,,
5,49979347126,164582289@N02,2ae83a931c,65535,66,Come On In.  The Water Is Fine.,1,0,0,1591504992,Fotog Gopher,65535,66,231,hotsprings alligator pettingzoo urban arkansas usa nikon z7 nef raw captureone water leaves reptile submerged day afternoon hotspringsnationalpark unitedstates,34.514980,-93.072520,16,0,,4115412,1,0,0,0,,,
6,49969094226,144509206@N03,6954e6a883,65535,66,Rocks,1,0,0,1591242861,scott.betterton,8022,9,3,,34.508419,-93.068337,16,0,,4115412,1,0,0,0,01be3bbb1c,jpg,
7,49969094216,144509206@N03,61aa977895,65535,66,Rocks,1,0,0,1591242861,scott.betterton,8022,9,3,,34.508444,-93.068328,16,0,,4115412,1,0,0,0,51b04826ff,jpg,
8,49968581898,144509206@N03,98cfa7c9a7,65535,66,Rocks,1,0,0,1591242833,scott.betterton,8022,9,3,,34.508463,-93.068292,16,0,,4115412,1,0,0,0,52813f832a,jpg,
9,49836840101,41424990@N00,ac001d270a,65535,66,"Hot Springs, Arkansas",1,0,0,1588244428,MarkusR.,2842,3,93,dsc00911 mrieder markusrieder vacation urlaub fotoreise phototrip usa 2018 usa2018 sonydschx60 arkansas hotsprings city stadt town ouachitamountains hotspringsnationalpark bathhouserow touristtown touristenstadt nationalpark alcapone club gangster,34.513620,-93.053963,16,0,,4115412,1,0,0,0,,,
10,49835566237,51035555243@N01,ebc4fb1f92,65535,66,Your Older Sister,1,0,0,1588200075,Thomas Hawk,7370,8,979,america arkansas hotsprings usa unitedstates unitedstatesofamerica butterfly mural hotspringsnationalpark fav10 fav25,34.515341,-93.053798,16,0,,4115412,1,0,0,0,917728ffcf,jpg,
11,49823541913,89950527@N02,9ef996c8d5,65535,66,exploring bathhouse row in hot springs,1,0,0,1587955263,cknot1sk,8347,9,11,hotsprings arkansas bathhouserow,34.513797,-93.053795,16,0,,4115412,1,0,0,0,a4c5554f1c,jpg,
12,49823541818,89950527@N02,d2f6f3593d,65535,66,thank you quapaw baths for the massage,1,0,0,1587955264,cknot1sk,8347,9,13,hotsprings arkansas bathhouserow quapawbaths massage,34.513294,-93.053812,16,0,,4115412,1,0,0,0,91ff55ddd8,jpg,
13,49776298681,41424990@N00,f62c13c59c,65535,66,Engine Room,1,0,0,1586941484,MarkusR.,2842,3,53,dsc00883mono mrieder markusrieder vacation urlaub fotoreise phototrip usa 2018 usa2018 sonydschx60 arkansas hotsprings museum fordycebathhouse bathhouse vistitorcenter badehaus building gebäude monochrome sw bw engineroom maschinenraum technik,34.513753,-93.053483,16,0,,4115412,1,0,0,0,,,
