,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags
0,50039879073,51035555243@N01,005d3aa7ce,65535,66,And Something's Got to Give,1,0,0,1593006598,Thomas Hawk,7370,8,344,america donaanacounty newmexico usa unitedstates unitedstatesofamerica whitesands whitesandsnationalmonument sunrise tularosa,ff2003ec6c,jpg,32.787236,-106.325492,16,0,,5484708,1,0,0,0,
1,50033384466,51035555243@N01,2b22f109da,65535,66,It's Where She Chooses How to Operate,1,0,0,1592831623,Thomas Hawk,7370,8,422,america donaanacounty newmexico usa unitedstates unitedstatesofamerica whitesands whitesandsnationalmonument tularosa fav10 fav25,1e11d014a1,jpg,32.787236,-106.325492,16,0,,5484708,1,0,0,0,
2,49988273028,84279479@N00,a1eaf37169,65535,66,White Sands,1,0,0,1591725870,Wizum,7400,8,43,2019 nationalpark newmexico whitesands desert hike hiking landscape nationalmonument nature,,,32.804608,-106.271181,15,0,,5484708,1,0,0,0,
3,49988787471,84279479@N00,30a2fbc228,65535,66,White Sands,1,0,0,1591725869,Wizum,7400,8,42,2019 nationalpark newmexico whitesands desert hike hiking landscape nationalmonument nature,,,32.808991,-106.272253,15,0,,5484708,1,0,0,0,
4,49985596136,84279479@N00,81b1599668,65535,66,White Sands Panoramic 1,1,0,0,1591646964,Wizum,7400,8,287,2019 nationalpark newmexico whitesands desert hike hiking landscape nationalmonument nature,,,32.822119,-106.276695,15,0,,5484708,1,0,0,0,
5,49976301608,51035555243@N01,f0ef7e14cb,65535,66,"Daniel Krieger, White Sands National Monument",1,0,0,1591447302,Thomas Hawk,7370,8,3913,america danielkrieger donaanacounty newmexico smoothdude usa unitedstates unitedstatesofamerica whitesands whitesandsnationalmonument bw tularosa fav10 fav25 fav50 fav100,62241dcfb5,jpg,32.787236,-106.325492,16,0,,5484708,1,0,0,0,
6,49955676141,51035555243@N01,c014704d93,65535,66,That Still Retain Your Shape and Lines,1,0,0,1590930419,Thomas Hawk,7370,8,1148,america donaanacounty newmexico usa unitedstates unitedstatesofamerica whitesands whitesandsnationalmonument tularosa fav10 fav25,048543c2ba,jpg,32.787236,-106.325492,16,0,,5484708,1,0,0,0,
7,49943313187,38900564@N07,b16c5eb7b6,65535,66,Sunset over White Sands #1,1,0,0,1590614414,DanHartfordPhoto,3784,4,41,alamagordoarea danhartfordphoto landscape nm nationalpark newmexico northamerica park sanddune unitedstates whitesandsnationalmonument exif:isospeed=400 geo:location=whitesandsnationalmonument camera:make=canon geo:city=tularosa exif:aperture=ƒ29 exif:focallength=70mm geo:state=newmexico geo:country=unitedstates exif:model=canoneos5dmarkiii geo:lon=106279462 exif:lens=tamron28300mmf3563divca20e geo:lat=32828525 camera:model=canoneos5dmarkiii exif:make=canon 5d3r047104,,,32.828525,-106.279462,16,0,,5484708,1,0,0,0,
8,49936104177,51035555243@N01,b3902c53cf,65535,66,Everything Will Be Ok,1,0,0,1590440652,Thomas Hawk,7370,8,4755,america donaanacounty newmexico usa unitedstates unitedstatesofamerica whitesands whitesandsnationalmonument fav10 fav25 fav50 fav100,0d1af06713,jpg,32.787236,-106.325492,16,0,,5484708,1,0,0,0,
9,49919121476,51035555243@N01,66e2263722,65535,66,"I Didn't Care, But Now I Can See",1,0,0,1590065442,Thomas Hawk,7370,8,591,america donaanacounty newmexico usa unitedstates unitedstatesofamerica whitesands whitesandsnationalmonument bw sunrise tularosa fav10 fav25,6eba367d44,jpg,32.787236,-106.325492,16,0,,5484708,1,0,0,0,
